Matrícula,Início,Término,Situação,Contrato,Usuário
9093249,2022-07-08,2023-01-28,EM EXERCÍCIO,20021/2023,1608
9358420,2020-11-17,2024-09-30,EM EXERCÍCIO,11893/2023,6616
268283,1993-04-15,,EM EXERCÍCIO,5010/2022,7334
9095365,2023-12-01,2025-09-14,EM EXERCÍCIO,32445/2023,7570
325430,1994-05-10,,LICENCIADO,5732/2022,8550
9282670,2014-01-20,,EM EXERCÍCIO,10655/2022,4534
237248,1992-09-04,,EM EXERCÍCIO,3847/2023,4283
350389,2019-08-28,,EM EXERCÍCIO,6394/2023,7278
9074988,2006-03-29,,EM EXERCÍCIO,8005/2022,1077
9303863,2021-11-12,2023-11-12,EM EXERCÍCIO,10932/2023,8248
327395,1994-05-10,,EM EXERCÍCIO,5823/2023,1851
9346139,2019-09-25,,EM EXERCÍCIO,11635/2022,9245
9201556,2006-03-29,,EM EXERCÍCIO,9884/2022,7130
9305670,2023-11-22,2025-06-26,EM EXERCÍCIO,32262/2023,9115
9201122,2006-03-29,,EM EXERCÍCIO,9847/2022,4422
9323708,2023-09-18,2025-06-26,EM EXERCÍCIO,27962/2023,1999
9205136,2011-02-08,,EM EXERCÍCIO,10012/2022,4569
9091700,2023-01-02,2023-12-31,EM EXERCÍCIO,25702/2023,3861
2351633,1998-03-11,,EM EXERCÍCIO,6700/2022,4545
9164774,2022-11-08,,EM EXERCÍCIO,19567/2022,5009
251054,1990-03-01,,EM EXERCÍCIO,4561/2022,4757
249882,1990-03-01,,EM EXERCÍCIO,4489/2022,8375
145998,1986-04-01,,EM EXERCÍCIO,536/2022,8144
9474080,2017-06-27,,EM EXERCÍCIO,17660/2022,833
225835,1991-08-01,,EM EXERCÍCIO,3342/2022,5668
9305033,2023-10-23,2025-10-22,EM EXERCÍCIO,30815/2023,9226
2376598,1998-03-10,,EM EXERCÍCIO,7057/2022,5010
230731,1992-06-01,,EM EXERCÍCIO,3580/2022,2585
2367734,1992-05-25,,EM EXERCÍCIO,7002/2022,4925
251240,1990-03-01,,EM EXERCÍCIO,4575/2022,7457
9474145,2017-05-30,,EM EXERCÍCIO,14004/2022,5852
2377225,1992-03-23,,EM EXERCÍCIO,7089/2023,5549
9150277,2020-09-04,,EM EXERCÍCIO,9112/2022,2879
9371540,2023-11-07,2025-11-06,EM EXERCÍCIO,32002/2023,3001
9473920,2017-06-27,,EM EXERCÍCIO,13989/2022,10586
9385789,2019-08-28,,EM EXERCÍCIO,12356/2022,4786
179710,1984-03-01,,EM EXERCÍCIO,1180/2022,9535
9230130,2020-11-17,2024-09-30,EM EXERCÍCIO,10202/2023,8223
9308083,2014-01-20,,EM EXERCÍCIO,11006/2022,5944
9202960,2021-06-14,2023-01-28,EM EXERCÍCIO,9972/2023,5496
2384310,1992-05-22,,EM EXERCÍCIO,7405/2023,7600
262846,1992-01-18,,EM EXERCÍCIO,4856/2022,8101
9442863,2023-11-06,2025-11-05,EM EXERCÍCIO,31974/2023,10463
235113,1992-07-30,,EM EXERCÍCIO,21/2022,8701
9229558,2021-08-10,2023-01-28,EM EXERCÍCIO,10179/2023,3696
74039,1994-03-24,,EM EXERCÍCIO,294/2022,2222
330272,1994-05-30,,EM EXERCÍCIO,5979/2022,5572
234044,1992-09-21,,EM EXERCÍCIO,3660/2023,5710
161390,2006-03-29,,EM EXERCÍCIO,834/2022,6063
324809,1994-04-28,,FALECIDO,5686/2023,10049
324671,1994-05-12,,EM EXERCÍCIO,5673/2022,9816
18856,2021-12-10,,EM EXERCÍCIO,129/2022,2567
340251,1998-03-09,,EM EXERCÍCIO,6232/2022,976
9451889,2023-09-28,2025-06-26,EM EXERCÍCIO,27522/2023,4618
316911,2023-10-10,2025-06-26,EM EXERCÍCIO,30706/2023,8852
276308,1994-03-11,,EM EXERCÍCIO,5130/2022,677
9064028,2023-01-01,2023-12-31,EM EXERCÍCIO,17987/2023,2411
9443215,2016-01-20,,EM EXERCÍCIO,13303/2022,930
9130497,2023-01-02,2023-12-31,EM EXERCÍCIO,25751/2023,4651
2350033,1992-02-17,,EM EXERCÍCIO,6665/2022,8520
2367157,1992-03-26,,EM EXERCÍCIO,6975/2022,5088
235334,1992-03-25,,EM EXERCÍCIO,3745/2022,2438
2378477,1992-04-03,,EM EXERCÍCIO,7136/2022,4637
2368196,1992-06-01,,APOSENTADO,7033/2023,3466
253600,1990-03-01,,EM EXERCÍCIO,4696/2023,4746
9292500,2022-08-12,2023-01-28,EM EXERCÍCIO,17473/2023,6799
9425705,2023-11-01,2025-06-26,EM EXERCÍCIO,30856/2023,4318
9303227,2023-11-13,2025-10-30,EM EXERCÍCIO,32071/2023,8715
9061606,2006-07-27,,EM EXERCÍCIO,7757/2022,2615
9184716,2023-03-20,2023-09-15,EXONERADO/RESCISO,21042/2023,1709
2368358,1992-06-01,,APOSENTADO,7045/2023,8930
9429786,2023-10-16,2025-06-26,EM EXERCÍCIO,31243/2023,10131
9135774,2023-03-13,2023-09-08,EXONERADO/RESCISO,21373/2023,9209
9094091,2020-11-17,2024-09-30,EM EXERCÍCIO,8323/2023,6246
9434917,2023-05-03,,EM EXERCÍCIO,26139/2023,4016
2378710,1992-05-02,,EM EXERCÍCIO,7146/2023,8858
9104461,2013-01-04,,EM EXERCÍCIO,8456/2022,9846
9457887,2023-09-18,2025-06-26,EM EXERCÍCIO,27898/2023,8220
9347135,2022-06-01,,EM EXERCÍCIO,20122/2022,8564
246298,1989-06-30,,EM EXERCÍCIO,4329/2022,7522
327212,1994-04-28,,EM EXERCÍCIO,5813/2023,7041
9108165,2022-06-30,2023-06-30,EM EXERCÍCIO,18862/2022,4834
253642,1990-03-01,,EM EXERCÍCIO,4698/2022,4709
9429255,2015-05-15,,EM EXERCÍCIO,13158/2023,940
9440313,2015-09-09,,EM EXERCÍCIO,13262/2022,2452
9345302,2022-06-01,,EM EXERCÍCIO,18642/2022,6528
9201912,2022-06-01,,EM EXERCÍCIO,17774/2023,8195
9313516,2023-01-01,2023-12-31,EM EXERCÍCIO,17989/2023,2899
9373020,2020-09-04,,EM EXERCÍCIO,12202/2023,4723
186147,1988-05-12,,EM EXERCÍCIO,1264/2022,9766
329703,1994-08-01,,EM EXERCÍCIO,5972/2022,4837
9473963,2017-05-30,,EM EXERCÍCIO,13992/2022,3349
232742,1992-05-13,,EM EXERCÍCIO,3615/2022,7848
9204946,2023-10-16,2025-06-26,EM EXERCÍCIO,31219/2023,9392
9473971,2017-05-30,,EM EXERCÍCIO,13993/2022,2191
249386,1990-03-01,,EM EXERCÍCIO,4457/2023,7636
9450629,2020-11-17,2024-09-30,EM EXERCÍCIO,13520/2023,8231
9153276,2014-01-20,,EM EXERCÍCIO,9177/2022,1099
327670,1994-05-10,,EM EXERCÍCIO,5843/2023,5703
9425578,2023-09-18,2025-06-26,EM EXERCÍCIO,29624/2023,10090
9224467,2023-10-02,2025-06-26,EM EXERCÍCIO,30515/2023,10449
9251278,2023-03-20,2023-09-15,EXONERADO/RESCISO,22192/2023,4286
348104,1998-03-09,,EM EXERCÍCIO,6354/2023,9792
9394826,2022-08-12,2023-01-28,EM EXERCÍCIO,19788/2023,9132
353485,2023-03-20,2023-09-15,EXONERADO/RESCISO,21193/2023,8883
9397370,2023-04-01,2023-09-27,EXONERADO/RESCISO,25424/2023,4875
161675,1986-05-02,,EM EXERCÍCIO,854/2022,10442
9373934,2023-03-13,2023-09-08,EXONERADO/RESCISO,20513/2023,7962
288217,1990-03-01,,LICENCIADO,5211/2023,9019
9348328,2021-11-12,2022-09-29,EM EXERCÍCIO,11705/2023,9979
234508,1992-02-13,,LICENCIADO,3694/2022,3483
9443614,2016-02-19,,EM EXERCÍCIO,13329/2022,2726
118850,1984-03-01,,EM EXERCÍCIO,346/2023,7446
229571,1992-02-06,,EM EXERCÍCIO,3521/2023,8194
9418113,2021-03-01,2023-02-27,EXONERADO/RESCISO,12913/2023,3324
9452079,2023-10-23,2025-10-22,EM EXERCÍCIO,31030/2023,5410
9169377,2022-06-01,,EM EXERCÍCIO,18037/2022,7009
9382011,2023-10-24,2025-10-23,EM EXERCÍCIO,31366/2023,3819
265926,2023-03-13,2023-12-31,EXONERADO/RESCISO,25642/2023,10078
9188584,2023-01-01,2023-12-31,EM EXERCÍCIO,17992/2023,3397
9447610,2023-12-01,2025-09-14,EM EXERCÍCIO,32211/2023,7471
9415262,2023-09-28,2025-06-26,EM EXERCÍCIO,28723/2023,10412
9386009,2020-09-04,,EM EXERCÍCIO,12359/2022,6852
9356711,2023-11-01,2025-06-26,EM EXERCÍCIO,31091/2023,8162
187763,1988-05-12,,EM EXERCÍCIO,1280/2023,6593
2378574,1992-05-15,,EM EXERCÍCIO,7139/2022,8133
9106561,2014-01-20,,EM EXERCÍCIO,8527/2022,7355
9227237,2023-03-13,2023-09-08,EXONERADO/RESCISO,21694/2023,5204
237159,1992-04-01,,EM EXERCÍCIO,3842/2022,8051
9168133,2014-01-20,,EM EXERCÍCIO,9454/2023,9208
9363700,2023-09-18,2025-06-26,EM EXERCÍCIO,28392/2023,8155
9237860,2022-06-01,,EM EXERCÍCIO,18595/2022,3695
9182691,2023-03-20,2023-09-15,EXONERADO/RESCISO,22306/2023,4511
2754355,1994-03-14,,EM EXERCÍCIO,7575/2023,1930
268798,1992-05-15,,LICENCIADO,5033/2022,853
323152,1994-06-30,,EM EXERCÍCIO,5611/2022,5877
331198,1994-08-01,,EM EXERCÍCIO,6051/2022,8089
9132635,2019-03-20,2021-03-20,EXONERADO/RESCISO,8911/2023,5587
9101977,2023-09-18,2025-06-26,EM EXERCÍCIO,28865/2023,8336
283860,2023-01-02,2023-12-31,EM EXERCÍCIO,25753/2023,9532
9074198,2020-09-04,,EM EXERCÍCIO,7986/2022,7257
2352869,1992-04-01,,EM EXERCÍCIO,6750/2022,7944
9369244,2023-11-01,2025-06-26,EM EXERCÍCIO,30816/2023,1313
325236,1994-05-10,,EM EXERCÍCIO,5718/2022,1031
9437932,2015-08-14,,EM EXERCÍCIO,13233/2022,5452
9188703,2017-05-30,,EM EXERCÍCIO,9781/2022,9699
9433597,2023-09-01,2025-06-26,EM EXERCÍCIO,28371/2023,9282
9283455,2023-09-11,2025-06-26,EM EXERCÍCIO,27653/2023,8816
9091092,2014-01-20,,EM EXERCÍCIO,8235/2022,4626
9285938,2020-09-04,,EM EXERCÍCIO,10702/2022,8015
9443495,2017-05-30,,EM EXERCÍCIO,13318/2022,5007
2383543,1992-05-28,,EM EXERCÍCIO,7367/2023,7447
9324178,2019-03-01,2021-03-01,EXONERADO/RESCISO,11297/2022,1399
9226672,2023-10-16,2025-06-26,EM EXERCÍCIO,30838/2023,4544
9415785,2023-09-11,2025-06-26,EM EXERCÍCIO,27824/2023,5575
9145770,2015-02-11,,EM EXERCÍCIO,9025/2022,4348
9263233,2011-01-11,,EM EXERCÍCIO,10522/2023,10510
236730,1992-05-26,,EM EXERCÍCIO,3822/2023,4778
9066438,1998-05-14,,EM EXERCÍCIO,7897/2022,895
225959,2022-08-12,2023-01-28,EM EXERCÍCIO,17355/2023,8011
246786,1990-03-01,,EM EXERCÍCIO,17574/2022,6495
9429476,2023-03-20,2023-09-15,EXONERADO/RESCISO,21585/2023,3414
3227634,2014-03-06,,EM EXERCÍCIO,7647/2022,5022
220469,1991-07-08,,EM EXERCÍCIO,1594/2022,6711
9109064,2008-02-15,,EM EXERCÍCIO,8600/2022,883
83933,1986-05-13,,EM EXERCÍCIO,310/2023,9497
47295,1982-05-03,,EM EXERCÍCIO,260/2022,5739
255645,1992-05-19,,EM EXERCÍCIO,4757/2022,2704
9450106,2023-10-30,2025-10-29,EM EXERCÍCIO,31799/2023,9289
354910,2022-08-12,2023-01-28,EM EXERCÍCIO,17412/2023,6949
247405,1990-03-01,,EM EXERCÍCIO,4377/2023,4665
2754100,1994-03-11,,EM EXERCÍCIO,7559/2022,7107
236918,1992-06-01,,EM EXERCÍCIO,3827/2022,2883
9085912,2006-07-25,,EM EXERCÍCIO,8153/2022,6453
9115633,2014-01-20,,EM EXERCÍCIO,8708/2023,4093
9180931,2023-09-18,2025-06-26,EM EXERCÍCIO,28683/2023,8284
363707,2023-03-20,2023-09-15,EXONERADO/RESCISO,23536/2023,1995
364100,2016-01-20,,EM EXERCÍCIO,6598/2022,7763
9443797,2022-06-01,,EM EXERCÍCIO,18869/2023,5475
9092536,0414-01-20,,EM EXERCÍCIO,8281/2023,9081
235458,1992-10-01,,EM EXERCÍCIO,3751/2022,3490
9283846,2023-01-02,2023-12-31,EM EXERCÍCIO,25754/2023,4066
9248838,2008-02-15,,EM EXERCÍCIO,10289/2023,6863
236411,1992-05-22,,EM EXERCÍCIO,3801/2022,2158
9370196,2023-03-13,2023-09-08,EXONERADO/RESCISO,20674/2023,4235
9374167,2023-12-01,2025-06-26,EM EXERCÍCIO,32489/2023,10406
307548,1993-06-02,,EM EXERCÍCIO,17578/2022,4892
2377829,1992-05-28,,EM EXERCÍCIO,7110/2022,7269
9454063,2023-09-11,2025-06-26,EM EXERCÍCIO,28806/2023,3083
9073590,2011-01-11,,EM EXERCÍCIO,7964/2022,3694
9391789,2014-06-09,,EM EXERCÍCIO,12489/2022,10249
9201920,2023-01-02,2023-12-31,EM EXERCÍCIO,25755/2023,8736
9109048,2019-08-28,,EM EXERCÍCIO,8597/2022,3880
9150676,2006-03-29,,EM EXERCÍCIO,9134/2022,5413
9356550,2022-05-13,2023-11-12,EM EXERCÍCIO,17699/2023,9268
9368116,2020-11-17,2022-09-29,EM EXERCÍCIO,12089/2023,8884
9285903,2021-11-12,2023-11-12,EM EXERCÍCIO,10699/2023,5970
9442146,2016-01-18,,EM EXERCÍCIO,13278/2022,2724
9322132,2023-09-11,2025-06-26,EM EXERCÍCIO,29842/2023,4596
9130748,2023-01-02,2023-12-31,EM EXERCÍCIO,25756/2023,1198
347833,2014-02-13,,EM EXERCÍCIO,6347/2022,5916
9329595,2022-06-30,2023-01-28,EM EXERCÍCIO,18597/2023,3739
9147187,2011-01-11,,EM EXERCÍCIO,9031/2022,830
9303243,2023-03-20,2023-09-15,EXONERADO/RESCISO,21034/2023,2210
9154590,2023-02-23,,EM EXERCÍCIO,25697/2023,9853
9325433,2023-09-18,2026-06-26,EM EXERCÍCIO,27767/2023,4335
251119,1990-03-01,,EM EXERCÍCIO,4564/2022,8394
226327,2005-08-01,,EM EXERCÍCIO,3378/2022,9785
234460,1992-02-20,,EM EXERCÍCIO,3690/2022,7825
302244,1993-11-01,,EM EXERCÍCIO,5369/2023,5460
326666,1994-03-24,,EM EXERCÍCIO,5781/2022,7513
348325,2008-02-15,,EM EXERCÍCIO,6360/2023,9086
9104585,2021-06-18,,EM EXERCÍCIO,8459/2023,5743
2357275,1992-04-20,,EM EXERCÍCIO,6867/2023,9730
9363955,2023-10-30,2025-10-29,EM EXERCÍCIO,31794/2023,2565
9302549,2023-03-20,2023-09-15,EXONERADO/RESCISO,22447/2023,3433
241806,2005-08-01,,EM EXERCÍCIO,17763/2022,7670
9271856,2023-09-18,2025-06-26,EM EXERCÍCIO,30271/2023,9319
9112561,2023-09-18,2025-06-26,EM EXERCÍCIO,29653/2023,6139
9326260,2023-10-16,2025-06-26,EM EXERCÍCIO,31200/2023,2172
150355,1984-09-01,,EM EXERCÍCIO,606/2022,8373
350079,2011-01-11,,EM EXERCÍCIO,6390/2022,4183
9360026,2015-01-14,,EM EXERCÍCIO,11903/2022,8369
9394346,2023-12-01,2025-10-30,EM EXERCÍCIO,32484/2023,8993
9384200,2023-09-18,2025-06-26,EM EXERCÍCIO,27498/2023,10228
2352788,1992-04-20,,EM EXERCÍCIO,6746/2022,7080
9390740,2023-03-20,2023-09-15,EXONERADO/RESCISO,21863/2023,9509
225827,1991-07-26,,EM EXERCÍCIO,3341/2023,6381
9112596,2014-01-20,,EM EXERCÍCIO,8662/2022,2707
9451579,2017-05-30,,EM EXERCÍCIO,13534/2022,9399
9364161,2023-09-01,2025-06-26,EM EXERCÍCIO,27747/2023,2496
9152040,2023-09-18,2025-06-26,EM EXERCÍCIO,30185/2023,9041
338168,1999-02-22,2022-12-31,EXONERADO/RESCISO,19576/2022,8955
219711,1991-07-11,,EM EXERCÍCIO,1559/2023,9571
9324704,2022-07-05,2023-01-28,EXONERADO/RESCISO,19689/2022,3878
9435018,2023-09-28,2025-06-26,EM EXERCÍCIO,28064/2023,3771
305847,1993-03-01,,EM EXERCÍCIO,5456/2022,8593
9390545,2019-03-19,2023-02-27,EXONERADO/RESCISO,12444/2022,7177
9153233,2014-01-20,,EM EXERCÍCIO,9175/2022,9513
9453687,2023-09-11,2025-06-26,EM EXERCÍCIO,27427/2023,6685
9391614,2022-05-13,2022-09-29,EM EXERCÍCIO,20082/2023,8141
9308423,2021-06-14,2023-01-28,EM EXERCÍCIO,11016/2023,4669
9198245,2023-09-18,2025-06-26,EM EXERCÍCIO,30014/2023,2527
2355035,1992-03-19,,EM EXERCÍCIO,6777/2022,8121
304697,1990-02-01,,EM EXERCÍCIO,5417/2022,1734
229342,1992-02-07,,EM EXERCÍCIO,3506/2022,6770
234397,1992-01-10,,EM EXERCÍCIO,3684/2022,6749
9414495,2023-01-28,2025-01-28,EM EXERCÍCIO,12815/2023,4342
9424105,2023-04-25,,EM EXERCÍCIO,26055/2023,9703
9432930,2023-03-13,2023-09-08,EXONERADO/RESCISO,20445/2023,5563
323446,2006-03-29,,EM EXERCÍCIO,5622/2022,4656
9422641,2021-08-10,,EM EXERCÍCIO,12985/2022,1634
2379520,1992-04-28,,EM EXERCÍCIO,7185/2022,3193
9135430,2011-01-11,,EM EXERCÍCIO,8944/2022,5707
2385309,1992-04-14,,EM EXERCÍCIO,7450/2022,1332
9303502,2021-11-12,2023-01-28,EM EXERCÍCIO,10918/2023,9205
240796,1992-05-28,,EM EXERCÍCIO,19694/2022,8559
9324461,2022-07-05,2023-01-28,EM EXERCÍCIO,19248/2023,1731
9176446,2014-01-20,,EM EXERCÍCIO,9625/2022,751
9084274,2014-03-06,,EM EXERCÍCIO,8096/2022,2684
123692,1985-07-12,,EM EXERCÍCIO,382/2022,7306
9061444,2006-03-29,,EM EXERCÍCIO,7745/2023,1270
357871,2011-02-08,,EM EXERCÍCIO,6496/2022,2312
9128654,2014-03-06,,EM EXERCÍCIO,8798/2022,1007
9169067,2019-08-28,,EM EXERCÍCIO,9474/2022,7530
9290990,2023-10-24,2025-10-23,EM EXERCÍCIO,31537/2023,3838
9178430,2014-01-20,,EM EXERCÍCIO,9674/2022,6662
199109,1989-07-01,,EM EXERCÍCIO,1347/2022,7634
9061924,2008-02-15,,EM EXERCÍCIO,7785/2022,6090
302376,1993-11-01,,EM EXERCÍCIO,5370/2022,9398
9352074,2020-11-17,2024-09-30,EM EXERCÍCIO,11774/2023,5382
327069,1994-05-10,,EM EXERCÍCIO,5799/2023,7416
9373519,2020-11-17,2024-09-30,EM EXERCÍCIO,12214/2022,7282
248207,1998-05-14,,APOSENTADO,4399/2023,920
9230157,2023-12-01,2025-09-14,EM EXERCÍCIO,32372/2023,7315
128856,1984-08-01,,EM EXERCÍCIO,423/2022,2326
9113037,2023-01-01,2026-12-31,EM EXERCÍCIO,27301/2023,1076
9184503,2005-08-01,,EM EXERCÍCIO,9739/2022,712
9106456,2023-01-02,2023-12-31,EM EXERCÍCIO,25757/2023,3157
9387153,2015-02-11,,EM EXERCÍCIO,12366/2022,2702
9445692,2016-01-20,,EM EXERCÍCIO,13390/2022,9850
9477764,2023-09-11,2025-06-26,EM EXERCÍCIO,27476/2023,1342
9327045,2021-12-10,2024-09-29,EM EXERCÍCIO,11382/2022,7148
264598,1993-05-04,,EM EXERCÍCIO,4872/2022,9078
9251910,2023-12-01,2025-10-31,EM EXERCÍCIO,32070/2023,3526
228699,1992-01-17,,EM EXERCÍCIO,17532/2022,6621
9352287,2023-05-01,2025-01-28,EM EXERCÍCIO,25864/2023,5501
228672,1991-11-25,,EM EXERCÍCIO,3482/2022,7941
9130373,2011-01-11,,EM EXERCÍCIO,8841/2022,6031
250430,1990-03-01,,EM EXERCÍCIO,4516/2023,9920
9474552,2017-05-30,,EM EXERCÍCIO,14034/2022,4568
9427716,2017-05-30,,EM EXERCÍCIO,13125/2022,3710
9254560,2014-01-20,,EM EXERCÍCIO,10420/2022,4214
348007,2023-10-24,2025-10-23,EM EXERCÍCIO,31199/2023,8637
9391479,2021-10-25,2023-06-26,EXONERADO/RESCISO,12476/2023,7146
9168656,2023-03-20,2023-09-15,EXONERADO/RESCISO,21830/2023,3365
255378,1992-05-11,,EM EXERCÍCIO,4754/2022,5400
347906,1998-05-20,,EM EXERCÍCIO,6349/2022,5907
9414401,2015-01-14,,EM EXERCÍCIO,12808/2022,5185
2379600,1992-04-29,,LICENCIADO,7190/2022,8467
9365397,2023-09-18,2025-06-26,EM EXERCÍCIO,27525/2023,8417
272647,2014-03-06,,EM EXERCÍCIO,5080/2022,7582
241849,1990-03-01,,EM EXERCÍCIO,18185/2022,4794
260916,1994-03-24,,EM EXERCÍCIO,4834/2022,9993
364754,2015-01-14,,EM EXERCÍCIO,6611/2023,6131
228010,1991-10-29,,EM EXERCÍCIO,3462/2022,5333
9397221,2023-09-11,2025-06-26,EXONERADO/RESCISO,27723/2023,5653
348520,2014-01-20,,EM EXERCÍCIO,6363/2023,7262
9356754,2023-09-18,2025-06-26,EM EXERCÍCIO,28608/2023,9389
9075844,2023-12-19,2025-10-31,EM EXERCÍCIO,32607/2023,5803
355216,1998-03-12,,EM EXERCÍCIO,6469/2022,7332
324310,1994-05-09,,EM EXERCÍCIO,5647/2022,8073
302112,1993-10-20,,EM EXERCÍCIO,5367/2022,5032
9474250,2017-05-30,,EM EXERCÍCIO,14014/2022,1132
9391150,2023-05-01,2024-01-04,EM EXERCÍCIO,25889/2023,2982
9110127,2023-09-18,2025-06-26,EM EXERCÍCIO,28496/2023,1654
9250980,2014-01-20,,LICENCIADO,10331/2022,2825
9298541,2023-04-01,2023-09-27,EXONERADO/RESCISO,21509/2023,5148
9319271,2014-01-20,,EM EXERCÍCIO,11173/2023,841
9125922,2014-03-06,,EM EXERCÍCIO,8747/2022,5511
247170,1989-06-30,,EM EXERCÍCIO,4365/2022,5933
118729,1985-07-01,,EM EXERCÍCIO,345/2022,4700
241865,1990-03-01,,EM EXERCÍCIO,18606/2022,9096
9390111,2018-05-03,2022-12-31,EXONERADO/RESCISO,19470/2022,6084
223972,1992-01-17,,EM EXERCÍCIO,1690/2022,7264
226106,1991-07-25,,EM EXERCÍCIO,3361/2022,4650
9332731,2023-09-18,2025-06-26,EM EXERCÍCIO,28225/2023,4370
226343,1991-07-08,,APOSENTADO,3380/2023,3439
349437,2014-01-20,,EM EXERCÍCIO,6372/2022,5503
9285512,2023-10-30,2025-10-29,EM EXERCÍCIO,31856/2023,3915
159590,1995-06-15,,EM EXERCÍCIO,812/2023,6832
2367432,1992-02-01,,EM EXERCÍCIO,6988/2022,5632
245100,1992-05-26,,EM EXERCÍCIO,4313/2022,8071
9202250,2006-03-29,,EM EXERCÍCIO,9940/2022,9675
241660,1990-03-01,,EM EXERCÍCIO,17659/2022,7575
9285440,2023-09-18,2025-06-26,EM EXERCÍCIO,28632/2023,3203
9131035,2011-01-11,,EM EXERCÍCIO,8863/2022,1126
244333,1989-06-30,,EM EXERCÍCIO,4279/2022,7719
250554,1998-03-10,,EM EXERCÍCIO,4528/2022,4610
9075135,2020-09-04,,EM EXERCÍCIO,8013/2022,8184
9334998,2014-01-20,,EM EXERCÍCIO,11507/2022,997
289230,1992-10-23,,EM EXERCÍCIO,5248/2022,7871
9200134,2023-03-20,2023-09-15,EXONERADO/RESCISO,23407/2023,1210
2367513,1998-02-01,,EM EXERCÍCIO,18124/2022,5485
9061460,2008-02-15,,EM EXERCÍCIO,7748/2023,4666
9177469,2023-09-18,2025-06-26,EM EXERCÍCIO,29050/2023,10419
9301020,2023-09-18,2025-06-26,EM EXERCÍCIO,30007/2023,8313
9322477,2022-02-01,2022-12-31,EXONERADO/RESCISO,18463/2022,1404
9440259,2023-03-13,2023-09-15,EXONERADO/RESCISO,20979/2023,4109
9423389,2023-11-01,2025-06-26,EM EXERCÍCIO,30790/2023,8059
9350721,2015-06-08,,EM EXERCÍCIO,11766/2022,7633
9448152,2022-08-01,2023-05-31,EM EXERCÍCIO,13456/2022,8322
9474315,2017-05-30,,EM EXERCÍCIO,14019/2023,1542
9446206,2023-03-20,2023-09-15,EXONERADO/RESCISO,21674/2023,6897
9420401,2021-03-01,2023-02-27,EXONERADO/RESCISO,12965/2022,2606
9445218,2023-03-20,2023-09-15,EXONERADO/RESCISO,21231/2023,4958
9352775,2023-09-18,2025-06-26,EM EXERCÍCIO,30117/2023,7883
9459634,2019-08-28,,EM EXERCÍCIO,13697/2023,4542
213004,1990-03-01,,EM EXERCÍCIO,1438/2022,8358
9181016,2006-03-29,,EM EXERCÍCIO,9701/2023,7739
9349499,2014-01-20,,EM EXERCÍCIO,11746/2023,6340
9319760,2014-01-20,,EM EXERCÍCIO,11200/2022,2433
211281,1989-07-01,,EM EXERCÍCIO,1422/2022,7205
238228,1992-06-05,,EM EXERCÍCIO,3893/2022,6899
2357011,1992-03-27,,EM EXERCÍCIO,6861/2022,8153
226262,1991-07-18,,EM EXERCÍCIO,3373/2022,9452
306177,1990-04-01,,EM EXERCÍCIO,5467/2022,9713
241652,1989-06-30,,EM EXERCÍCIO,17643/2022,3336
9474200,2017-05-30,,EM EXERCÍCIO,14010/2022,2082
9448420,2023-11-22,2025-06-26,EM EXERCÍCIO,32229/2023,8908
9363939,2023-09-18,2025-06-26,EM EXERCÍCIO,30146/2023,4072
348368,2022-04-11,2022-12-31,EXONERADO/RESCISO,18819/2022,1915
9367403,2023-04-01,2023-09-27,EXONERADO/RESCISO,21498/2023,7774
9154434,2014-01-20,,EM EXERCÍCIO,9223/2022,9653
9251235,2023-10-24,2025-10-23,EM EXERCÍCIO,30761/2023,1797
9347623,2021-03-02,2023-02-27,EXONERADO/RESCISO,11698/2023,1459
9128735,2011-01-11,,EM EXERCÍCIO,8803/2022,6564
9338730,2020-09-04,,EM EXERCÍCIO,11568/2022,6064
9364390,2014-03-06,,EM EXERCÍCIO,11956/2023,7372
229393,1991-12-12,,EM EXERCÍCIO,3509/2022,591
9347143,2023-03-20,2023-09-15,EXONERADO/RESCISO,23387/2023,6588
9428860,2022-05-24,2023-01-28,EM EXERCÍCIO,17905/2023,8512
9419888,2023-03-13,2023-09-08,EXONERADO/RESCISO,20901/2023,4847
2755742,2023-03-20,2023-09-15,EXONERADO/RESCISO,21262/2023,8362
256773,1992-03-24,,EM EXERCÍCIO,4782/2022,6285
9256806,2023-10-30,2025-10-29,EM EXERCÍCIO,31645/2023,8433
9106553,2014-01-20,,EM EXERCÍCIO,8525/2022,6325
9110135,2023-09-18,2025-06-26,EM EXERCÍCIO,30071/2023,5982
9320520,2014-03-06,,EM EXERCÍCIO,11221/2023,7301
9108696,2023-03-14,2025-01-28,EM EXERCÍCIO,22389/2023,3551
9442944,2022-06-01,,EM EXERCÍCIO,17605/2023,4105
9156313,2006-03-29,,EM EXERCÍCIO,9287/2022,839
9323902,2023-09-18,2025-06-26,EM EXERCÍCIO,28593/2023,1700
344753,2023-10-24,2025-10-23,EM EXERCÍCIO,31490/2023,2555
9250476,2023-10-24,2025-10-23,EM EXERCÍCIO,31210/2023,1946
9314024,2020-09-04,,EM EXERCÍCIO,11090/2023,8060
9063145,2006-03-29,,EM EXERCÍCIO,7841/2022,2600
9330062,2023-03-20,2023-09-15,EXONERADO/RESCISO,22383/2023,8751
9169385,2023-09-18,2025-06-26,EM EXERCÍCIO,28813/2023,9287
2352702,1992-03-23,,EM EXERCÍCIO,6744/2023,7653
241750,2005-08-01,,EM EXERCÍCIO,18215/2022,2097
